"location_id","city","state","country","region"
1,Ang Thong,Ang Thong,Thailand,Central
2,Pa Mok,Ang Thong,Thailand,Central
3,Sam Ko,Ang Thong,Thailand,Central
4,Bang Bon,Bangkok,Thailand,Central
5,Bang Kapi,Bangkok,Thailand,Central
6,Bang Khae,Bangkok,Thailand,Central
7,Bang Kho Laem,Bangkok,Thailand,Central
8,Bang Khun Thian,Bangkok,Thailand,Central
9,Bangkok,Bangkok,Thailand,Central
10,Bangkok Yai,Bangkok,Thailand,Central
11,Bang Na,Bangkok,Thailand,Central
12,Bang Rak,Bangkok,Thailand,Central
13,Bang Sue,Bangkok,Thailand,Central
14,Chatuchak,Bangkok,Thailand,Central
15,Chom Thong,Bangkok,Thailand,Central
16,Din Daeng,Bangkok,Thailand,Central
17,Don Mueang,Bangkok,Thailand,Central
18,Huai Khwang,Bangkok,Thailand,Central
19,Khan Na Yao,Bangkok,Thailand,Central
20,Khlong Sam Wa,Bangkok,Thailand,Central
21,Khlong San,Bangkok,Thailand,Central
22,Lat Phrao,Bangkok,Thailand,Central
23,Nong Khaem,Bangkok,Thailand,Central
24,Pathum Wan,Bangkok,Thailand,Central
25,Phaya Thai,Bangkok,Thailand,Central
26,Phra Khanong,Bangkok,Thailand,Central
27,Phra Nakhon,Bangkok,Thailand,Central
28,Ratchathewi,Bangkok,Thailand,Central
29,Sai Mai,Bangkok,Thailand,Central
30,Samphanthawong,Bangkok,Thailand,Central
31,Saphan Sung,Bangkok,Thailand,Central
32,Sathon,Bangkok,Thailand,Central
33,Taling Chan,Bangkok,Thailand,Central
34,Thawi Watthana,Bangkok,Thailand,Central
35,Thung Khru,Bangkok,Thailand,Central
36,Wang Thonglang,Bangkok,Thailand,Central
37,Watthana,Bangkok,Thailand,Central
38,Chai Nat,Chai Nat,Thailand,Central
39,Kamphaeng Phet,Kamphaeng Phet,Thailand,Central
40,Lan Krabue,Kamphaeng Phet,Thailand,Central
41,Ban Mi,Lopburi,Thailand,Central
42,Lop Buri,Lopburi,Thailand,Central
43,Tha Hin,Lopburi,Thailand,Central
44,Nakhon Nayok,Nakhon Nayok,Thailand,Central
45,Ongkharak,Nakhon Nayok,Thailand,Central
46,Pak Phli,Nakhon Nayok,Thailand,Central
47,Bang Krathuek,Nakhon Pathom,Thailand,Central
48,Nakhon Chai Si,Nakhon Pathom,Thailand,Central
49,Nakhon Pathom,Nakhon Pathom,Thailand,Central
50,Salaya,Nakhon Pathom,Thailand,Central
51,Sam Phran,Nakhon Pathom,Thailand,Central
52,Nakhon Sawan,Nakhon Sawan,Thailand,Central
53,Bang Kruai,Nonthaburi,Thailand,Central
54,Bang Talat,Nonthaburi,Thailand,Central
55,Bang Yai,Nonthaburi,Thailand,Central
56,Ban Mai,Nonthaburi,Thailand,Central
57,Khlong Phra Udom,Nonthaburi,Thailand,Central
58,Mueang Nonthaburi,Nonthaburi,Thailand,Central
59,Pakkret,Nonthaburi,Thailand,Central
60,Sai Ma,Nonthaburi,Thailand,Central
61,Talat Khwan,Nonthaburi,Thailand,Central
62,Talat Kwan,Nonthaburi,Thailand,Central
63,Ban Klang,Pathum Thani,Thailand,Central
64,Bueng Kham Phroi,Pathum Thani,Thailand,Central
65,Khlong Luang,Pathum Thani,Thailand,Central
66,Khlong Nueng,Pathum Thani,Thailand,Central
67,Lam Luk Ka,Pathum Thani,Thailand,Central
68,Lat Sawai,Pathum Thani,Thailand,Central
69,Nong Suea,Pathum Thani,Thailand,Central
70,Pathum Thani,Pathum Thani,Thailand,Central
71,Thanyaburi,Pathum Thani,Thailand,Central
72,Khao Kho,Phetchabun,Thailand,Central
73,Phetchabun,Phetchabun,Thailand,Central
74,Tha Phon,Phetchabun,Thailand,Central
75,Phichit,Phichit,Thailand,Central
76,Phitsanulok,Phitsanulok,Thailand,Central
77,Wang Thong,Phitsanulok,Thailand,Central
78,Wat Chan,Phitsanulok,Thailand,Central
79,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,Central
80,Ko Rian,Phra Nakhon Si Ayutthaya,Thailand,Central
81,Lat Bua Luang,Phra Nakhon Si Ayutthaya,Thailand,Central
82,Tha Wasukri,Phra Nakhon Si Ayutthaya,Thailand,Central
83,Bang Bo District,Samut Prakan,Thailand,Central
84,Bang Kaeo,Samut Prakan,Thailand,Central
85,Bang Phli,Samut Prakan,Thailand,Central
86,Bang Pla,Samut Prakan,Thailand,Central
87,Bang Sao Thong,Samut Prakan,Thailand,Central
88,Pak Nam,Samut Prakan,Thailand,Central
89,Phra Pradaeng,Samut Prakan,Thailand,Central
90,Racha Thewa,Samut Prakan,Thailand,Central
91,Samut Prakan,Samut Prakan,Thailand,Central
92,Song Khanong,Samut Prakan,Thailand,Central
93,Bang Nam Chuet,Samut Sakhon,Thailand,Central
94,Ban Phaeo,Samut Sakhon,Thailand,Central
95,Om Noi,Samut Sakhon,Thailand,Central
96,Samut Sakhon,Samut Sakhon,Thailand,Central
97,Bang Phrom,Samut Songkhram,Thailand,Central
98,Samut Songkhram,Samut Songkhram,Thailand,Central
99,Chaloem Phra Kiat,Sara Buri,Thailand,Central
100,Muak Lek,Sara Buri,Thailand,Central
101,Saraburi,Sara Buri,Thailand,Central
102,Sing Buri,Sing Buri,Thailand,Central
103,Rua Yai,Suphan Buri,Thailand,Central
104,Uthai Thani,Uthai Thani,Thailand,Central
105,Bang Pakong,Chachoengsao,Thailand,East
106,Ban Pho,Chachoengsao,Thailand,East
107,Chachoengsao,Chachoengsao,Thailand,East
108,Plaeng Yao,Chachoengsao,Thailand,East
109,Chanthaburi,Chanthaburi,Thailand,East
110,Ban Bueng,Chon Buri,Thailand,East
111,Bang Lamung,Chon Buri,Thailand,East
112,Ban Suan,Chon Buri,Thailand,East
113,Ban Talat Bueng,Chon Buri,Thailand,East
114,Chon Buri,Chon Buri,Thailand,East
115,Pattaya City,Chon Buri,Thailand,East
116,Pong,Chon Buri,Thailand,East
117,Sattahip,Chon Buri,Thailand,East
118,Si Racha,Chon Buri,Thailand,East
119,Thung Sukhla,Chon Buri,Thailand,East
120,Bang Krabao,Prachin Buri,Thailand,East
121,Ban Phe,Rayong,Thailand,East
122,Klaeng,Rayong,Thailand,East
123,Maptaphut,Rayong,Thailand,East
124,Nikhom Phattana,Rayong,Thailand,East
125,Pluak Daeng,Rayong,Thailand,East
126,Rayong,Rayong,Thailand,East
127,Sam Nak Thon,Rayong,Thailand,East
128,Tha Pradu,Rayong,Thailand,East
129,Aranyaprathet,Sa Kaeo,Thailand,East
130,Khlong Yai,Trat,Thailand,East
131,Ko Chang Tai,Trat,Thailand,East
132,Trat,Trat,Thailand,East
133,Ban Pong,Chiang Mai,Thailand,North
134,Ban Waen,Chiang Mai,Thailand,North
135,Chang Klan,Chiang Mai,Thailand,North
136,Chang Moi,Chiang Mai,Thailand,North
137,Chang Phueak,Chiang Mai,Thailand,North
138,Chiang Dao,Chiang Mai,Thailand,North
139,Chiang Mai,Chiang Mai,Thailand,North
140,Chom Thong,Chiang Mai,Thailand,North
141,Doi Saket,Chiang Mai,Thailand,North
142,Doi Tao,Chiang Mai,Thailand,North
143,Fa Ham,Chiang Mai,Thailand,North
144,Hang Dong,Chiang Mai,Thailand,North
145,Hot,Chiang Mai,Thailand,North
146,Mae Hia,Chiang Mai,Thailand,North
147,Mae On,Chiang Mai,Thailand,North
