"fact_id","time_id","location_id","aqius","mainus","aqicn","maincn","temperature","pressure","humidity","wind_speed","wind_direction","weather_icon"
157,2025032010,232,120,p2,60,p2,26,1015,48,3.48,68,-
861,2025032010,274,61,p2,23,o3,25,1016,88,0.00,0,-
760,2025032010,260,59,p2,28,o3,24,1016,91,0.41,113,-
158,2025032010,234,97,p2,48,p2,21,1015,51,2.18,67,-
764,2025032010,262,59,p2,19,p2,24,1017,86,3.48,168,-
855,2025032010,272,60,p2,20,p2,26,1015,72,4.80,66,-
810,2025032010,269,61,p2,40,p1,29,1015,83,6.21,66,-
892,2025032010,282,59,p2,19,p2,23,1016,89,1.53,115,-
1,2025032011,207,114,p2,57,p2,23,1016,47,8.18,56,-
746,2025032011,47,0,p2,0,p2,29,1016,42,2.67,83,-
46,2025032011,38,107,p2,54,p2,30,1013,31,3.73,119,-
219,2025032011,294,151,p2,76,p2,25,1015,52,1.11,334,-
40,2025032011,211,99,p2,50,p2,27,1014,34,3.44,27,-
26,2025032011,26,105,p2,53,p2,30,1012,39,3.60,80,-
124,2025032011,259,84,p2,39,p2,29,1012,68,5.36,62,-
2,2025032012,1,148,p2,74,p2,29,1013,30,3.67,72,-
238,2025032012,129,99,p2,60,p1,26,1015,39,3.01,28,-
94,2025032012,110,126,p2,63,p2,30,1013,65,3.15,38,-
125,2025032012,174,118,p2,59,p2,26,1013,37,2.38,73,-
241,2025032012,83,122,p2,61,p2,28,1014,39,2.57,90,-
5,2025032012,4,108,p2,65,p1,31,1012,35,1.66,23,-
192,2025032012,264,105,p2,53,p2,25,1015,85,2.92,107,-
6,2025032012,5,127,p2,64,p2,30,1013,41,3.60,80,-
7,2025032012,6,122,p2,61,p2,31,1012,35,2.48,26,-
8,2025032012,7,97,p2,49,p2,31,1012,35,3.23,56,-
9,2025032012,8,122,p2,61,p2,31,1012,35,1.80,35,-
12,2025032012,9,112,p2,62,p1,31,1012,35,3.51,45,-
13,2025032012,10,141,p2,81,p1,31,1012,35,3.51,45,-
173,2025032012,53,124,p2,63,p2,30,1014,40,2.06,50,-
97,2025032012,111,97,p2,48,p2,26,1013,48,4.19,45,-
10,2025032012,11,106,p2,55,p1,30,1012,37,3.60,80,-
43,2025032012,105,121,p2,61,p2,30,1013,50,4.84,55,-
218,2025032012,293,139,p2,70,p2,24,1015,68,2.90,37,-
11,2025032012,13,112,p2,56,p2,30,1013,41,3.09,30,-
174,2025032012,54,126,p2,63,p2,29,1013,42,3.09,30,-
175,2025032012,55,127,p2,64,p2,29,1014,38,3.83,40,-
211,2025032012,265,71,p2,29,p2,29,1014,83,1.98,54,-
191,2025032012,263,93,p2,45,p2,27,1013,73,3.58,69,-
182,2025032012,63,79,p2,34,p2,28,1014,42,2.06,50,-
172,2025032012,56,139,p2,70,p2,28,1014,46,2.06,50,-
136,2025032012,41,99,p2,50,p2,30,1013,30,4.03,104,-
229,2025032012,121,110,p2,55,p2,25,1014,100,3.95,44,-
42,2025032012,106,99,p2,50,p2,31,1013,42,4.46,48,-
53,2025032012,133,80,p2,35,p2,24,1013,42,1.53,103,-
95,2025032012,112,117,p2,59,p2,30,1013,73,4.38,47,-
108,2025032012,283,131,p2,66,p2,30,1013,31,3.66,67,-
96,2025032012,113,96,p2,48,p2,26,1013,48,3.42,44,-
132,2025032012,181,117,p2,59,p2,30,1012,82,3.68,130,-
193,2025032012,191,91,p2,44,p2,25,1014,45,1.04,62,-
54,2025032012,134,139,p2,70,p2,28,1011,49,1.54,310,-
296,2025032012,281,72,p2,29,p2,21,1015,90,1.44,90,-
126,2025032012,175,90,p2,43,p2,28,1012,54,1.54,290,-
144,2025032012,226,124,p2,62,p2,25,1015,33,3.57,81,-
49,2025032012,215,93,p2,45,p2,25,1015,36,2.61,93,-
183,2025032012,64,159,p2,91,p2,29,1014,43,2.06,50,-
37,2025032012,208,101,p2,64,p1,27,1014,33,3.85,33,-
200,2025032012,291,156,p2,84,p2,27,1015,50,0.84,344,-
44,2025032012,107,124,p2,63,p2,28,1013,60,4.03,41,-
47,2025032012,213,114,p2,57,p2,27,1015,34,3.39,78,-
257,2025032012,99,129,p2,88,p1,26,1015,49,2.58,65,-
38,2025032012,209,114,p2,57,p2,27,1014,34,3.27,27,-
55,2025032012,135,148,p2,75,p2,29,1011,48,1.54,310,-
56,2025032012,136,95,p2,47,p2,29,1011,47,1.54,310,-
57,2025032012,137,117,p2,59,p2,29,1012,48,1.54,310,-
52,2025032012,109,96,p2,52,p1,26,1013,49,2.21,77,-
48,2025032012,214,137,p2,69,p2,27,1014,33,3.27,81,-
